Date,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2018-03-09,84.30008697509766,125.54000091552734,164.12689208984375,245.45187377929688,84.37141064639336,125.69000244140625,164.12689208984375,245.45187377929688,84.24461099305815,124.77999877929688,161.90896463363384,242.3448890552754,84.34763608929478,124.94000244140625,162.1459230660356,242.66176276423687,3669400,5066800,38310500,113625300
2018-03-12,84.34767150878906,125.54000091552734,164.99888610839844,245.14373779296875,84.39522064295315,125.56999969482422,165.37801378921114,246.36718099254543,84.30012237462496,124.83999633789062,164.24061628397905,244.75646274134198,84.34767150878906,125.04000091552734,164.61027083474934,245.74227087490794,4149500,2884300,37635000,71924800
2018-03-13,84.4586410522461,125.77999877929688,162.7525177001953,243.5595245361328,84.48241562426351,125.98999786376953,166.0699353792937,246.80733906418087,84.36353671774408,125.05000305175781,162.3354685922046,242.95220787735744,84.47448875144691,125.66999816894531,165.37800642158484,246.30563802249105,2727500,4798300,55638900,91968900
2018-03-14,84.60128784179688,125.69999694824219,162.7240753173828,242.30963134765625,84.68053842439977,125.76000213623047,163.7287911427087,244.70368337191348,84.41900606002152,125.33999633789062,162.01320007452026,241.75514946256,84.43485980440123,125.48999786376953,163.60556813918518,244.5188560768814,3126400,3777000,40536400,105895100
2018-03-15,84.60921478271484,124.9000015258789,162.58189392089844,242.0455780029297,84.64883705083254,125.20999908447266,163.52972750731436,243.46263194836675,84.51411045565499,124.72000122070312,161.9847541333627,241.54387708563357,84.58544021255786,125.12000274658203,162.8378130388127,242.82012815022333,3045500,6130100,28810400,83433000
2018-03-16,84.56166076660156,124.5999984741211,162.09848022460938,242.3080596923828,84.57751451121362,124.87000274658203,163.21691675040657,243.35965403873402,84.48241018283719,124.20999908447266,162.02265181328218,242.2550403949287,84.49826392744924,124.83999633789062,162.85674987509069,242.5731561796535,2552700,7402200,31176700,100343700
2018-03-19,84.47449493408203,124.87000274658203,158.63995361328125,239.02955627441406,84.59337384930213,125.16000366210938,160.65261617920999,242.48479112275547,84.42694578656712,124.41999816894531,157.2538651099721,237.37705851392633,84.45072036032457,124.56999969482422,160.5386962562349,241.55692641312461,2263200,4335400,71395100,109208400
2018-03-20,84.33977508544922,124.30999755859375,159.16204833984375,239.4361114501953,84.4111048588775,124.55000305175781,159.53230246431488,240.0723701132613,84.32392738381698,123.95999908447266,158.17470883667153,238.7556520517941,84.35562883351474,124.41000366210938,158.7063542988606,239.4272659095059,3000700,3399400,34075700,59757300
2018-03-21,84.33182525634766,126.4800033569336,158.46902465820312,238.97657775878906,84.38730126263236,126.76000213623047,160.2158640317878,241.48625724722612,84.07029292110644,125.02999877929688,157.77598780092563,238.76450052453336,84.2604955074495,125.4000015258789,158.74435039364795,239.3919136546146,2994400,12532000,43863500,78709600
2018-03-22,84.49034118652344,125.9800033569336,154.5576171875,233.0028533935547,84.64092153554115,126.33999633789062,157.37725049899265,237.59803111393998,84.39523685349663,125.63999938964844,154.35824288356727,232.72888433108503,84.53789032982071,126.08999633789062,156.2759765519191,236.74969517554956,3334400,5298700,66607300,148785900
